pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102
DS1	0.0719676404684	-0.0474342014697	-0.000451001326609	0.02589485625	-0.169469485906	0.0267151033446	-0.050208028404	0.0014640929031	-0.0231183505095	0.112214305474	0.00657758769614	-0.0123387016651	0.0570472509924	-0.0248078970557	0.0597522144691	-0.0182435062388	0.0211361502333	-0.0386734786199	0.0374630605978	-0.0584545130729	0.064387448808	-0.0258023496161	0.0521764169924	-0.00708789455351	-0.00459912597688	0.0273099730391	-0.0604027293524	0.0149859052021	0.008608004341	-0.0148796395965	-0.0113577996235	0.0078743873678	0.0072921435088	-0.0165513387356	-0.0106565017168	0.00657621076941	0.00564037058251	0.0050966927861	-0.0359505145566	-0.00563022811083	-0.03610401713	0.0170031641896	0.0267465369161	-0.000117779662503	-0.021433019662	-0.00309029951224	-0.0418214048494	-0.012382536688	0.0177394161697	0.00529564674102	0.0182252410896	-0.0322960856821	-0.00429065981619	-0.0314525191753	-0.0427637822359	0.0280024849302	0.00559270073648	0.0143041945808	0.0224894996222	-0.00933874047599	-0.0204641217056	-0.0613762722272	0.00986904015167	0.00144061596507	0.0107779462957	0.00336895852485	0.0352885255618	-0.00360180696593	-0.03429512812	-0.0047978124216	-0.0112396637245	-0.00205592684741	0.0340482760201	0.0113145361872	0.00786401597679	0.00769970013394	0.0251759294855	-0.0055659903151	-0.0177776914182	-0.00323346444265	0.0065191749361	-0.00820320114028	-0.0073414218866	-0.00237978347049	0.020830041514	0.00910489416867	0.00123672705421	0.011385616992	-0.00529935684617	-0.012247504685	-0.015537758527	-0.0126047110531	0.00133139555974	-0.00511118738853	0.00354225802616	0.00517037113952	0.00201444113057	0.00144499423826	0.00584502609619	-0.000845483208697	-0.00135247929221	-5.72777354041e-09
DS2	-0.201206112475	-0.156373081306	-0.0607389702729	0.0478157031658	-0.217156886111	0.0523067426532	0.0430341840246	0.0322070885888	0.00969851907633	0.041777410443	-0.0570536067894	-0.0212759245005	-0.0701735735917	-0.0285858551902	-0.0131910139237	0.0384161378749	0.0516963857901	0.010779397605	0.0104939613807	0.00936714042704	0.011561575315	0.00888449501737	-0.0259572622205	0.0352390421713	0.034222879016	0.0308869061022	0.0230249026866	0.00114566267163	0.0475127020446	-0.0249007088853	0.0576711935782	-0.0159368573079	0.0655566343495	-0.0213873828136	0.00632634420078	0.00644511317843	0.00460508829521	0.0718089900571	0.0181827370093	0.0216714298183	0.0570738590291	-0.0612389252234	0.0663626337292	0.0575908668673	0.0282337689362	0.0258434069966	0.0220497213825	-0.0205870803112	-0.0198335600926	-0.0165109803202	-0.0451220144642	-0.0305047702645	0.0443722129325	0.0120493337568	0.00668106256239	-0.00165462302571	-0.0536713631578	-0.0111255201139	0.0102047648401	-0.00809091254369	-0.00656494737963	0.00215328794988	0.0306866140999	-0.00734306516374	-0.0186206863718	-0.0425147439578	-0.00509190197341	-0.0284773745089	0.0116688702871	-0.0160458475063	-0.000827356721933	-0.0168042338583	-0.002917500964	-0.0100408286722	-0.000674325869493	-0.00902446492583	0.00450570950864	-0.0140107712174	-0.00610578666624	0.00871147291486	0.000401757323179	0.00273047497535	0.0046166072304	0.00241200148204	0.00557408390841	-0.00568658589783	-0.00143999926441	-0.00154961521851	0.00428848438991	0.00143106961388	0.00145937491023	0.000692064601875	-0.000596358782712	-0.00264280521135	0.00134325263642	0.00256833619934	0.0034404034306	0.00184408713971	0.00079504507061	-0.000913810979953	-0.00184132091503	-5.72777354041e-09
DS3	0.124561114031	-0.0419285496625	-0.0253192407395	0.0472459642145	-0.00233000751549	-0.0100707624816	-0.105846893	0.0637783155672	0.020224655345	0.0183987660689	0.0715427913551	0.0130627538308	-0.0412818304606	0.0083450347433	0.0274658444106	0.0273236921396	-0.00412581452653	0.0253063638383	0.073842278914	-0.0448447729095	-0.0269105040617	0.081777968545	0.0179417813367	0.0125380355197	0.0100276566974	0.000823565427146	-0.020997613021	0.0159614729162	0.0443625502205	-0.0344368439469	-0.0335787703034	0.021940378583	0.0186347699415	0.0124875730404	0.00123177316453	-0.00716021678742	-0.0178911247921	-0.000579206880954	-0.0065415703031	0.00120836381604	-0.00843831308107	0.0276371079558	-0.00101990809043	0.0283906349453	-0.0124118547448	-0.0083111482156	-0.000758404407153	0.0221594372512	-0.00340910599676	-0.00987127318133	-0.0105964459262	0.00452865906542	-0.0160292011155	-0.00790071067245	0.0202123937543	-0.00993905438775	-0.008138517812	-0.0333908860501	0.0043080916409	-0.0234399789049	0.00848385721372	-0.0255250111277	-0.00488392726802	-0.0257460586516	-0.0124257662681	0.00626184637752	0.00835950855389	0.0197582715154	-0.0321331222529	-0.0348772311839	-0.045840054356	-0.00606238920273	-0.0287682566619	0.0118776801919	0.00652865500217	-0.0157152908059	-0.0220303804496	0.00610560529837	0.00145615975562	-0.00143768340465	0.00691522367962	0.00253502010248	0.0135604778061	0.00715309489385	-0.0124626213001	-0.0236428583127	0.00996842012367	0.00798792290034	0.0101777345431	0.0126150294368	0.0053444008127	-0.0197376325865	-0.00660913054486	-0.00358669469472	-0.0154172696632	-0.00117028735153	-0.00766370434197	-0.00707132369926	-0.00221336400118	-0.0059012416739	0.000226435070572	-5.7277735404e-09
DS4	0.0744344747012	0.0539402773696	0.112578957075	-0.0745277265314	0.0122961006581	0.0108363823262	-0.0485063945684	-0.0464136775167	0.0220993678096	-0.030148136731	-0.0542396141347	-0.0167304876102	-0.0336664724448	-0.00337382769685	0.0294337432823	0.0235302249148	-0.0514665937373	-0.0347777389451	-0.000634910692557	-0.00395215365823	0.0154474116164	0.0165770255223	0.0509381489414	0.077008770699	0.0369813789468	0.00551685575584	-0.047159032219	-0.00195015050556	-0.0239208408635	0.0182872674223	0.0603430560116	0.00443834202464	0.0788933680464	-0.0363217161162	-0.0479462591525	-0.00695222508893	0.00462154596895	-0.0205700632774	0.0210030288778	-0.0386512734179	0.0440021925728	-0.013480347115	-0.0222172668935	-0.0355254492171	0.0569874119588	0.00035571548846	-0.00753013311295	0.0118017420108	-0.0211340295674	-0.00436760373183	0.0560019244926	-0.0257516329615	-0.0117421710386	0.0297513498189	-0.00436606763164	0.00818797310696	-0.0081522238618	0.0122975667808	0.0115937241228	0.0047931969815	0.0121962263544	0.0168455070468	-0.00669107892403	0.00712573323367	-0.00321278908296	0.0447379210868	0.00390443127121	-0.0106355838449	-0.0491132344409	-0.0201362905684	-0.00382704217018	-0.0100043875632	-0.00502735677646	0.00362724119151	-0.0342545600019	-0.00213669323645	0.00332299054015	-0.0118508385521	0.0289423166578	0.00110794631625	0.00324049562986	-0.00290148047172	0.011456756889	0.0188481635113	-0.00268852028947	0.00173587054343	0.00573113082396	0.00494267530046	0.00146716731874	-0.00560666275017	0.01750743473	0.00238510835545	0.0047386545172	-0.00419456292913	-0.00230572124093	0.00347596627986	0.00331910608249	0.0053698030344	0.0042669390779	0.0031020104562	-0.00113417034083	-5.72777354041e-09
DS5	0.0119899503799	0.156311585657	-0.32752301587	-0.110015233258	-0.0206182555187	-0.017465853222	-0.0466985090214	-0.028339259464	-0.0033875951989	-0.0264612023189	-0.0834021733836	-0.0239926746847	0.0557143643005	0.0563117630627	0.0175324111128	0.0239024799031	-0.0219474147215	-0.0124698391412	-0.0338681351814	0.0654790149582	0.0168735874189	0.00575743609533	-0.0284160901351	-0.00206901405534	-0.0408734967121	0.0173639403535	-0.0264284067	-0.0123477636063	-0.0183354031433	0.00825330336318	0.00883018463448	-0.000644378752241	0.00255253664465	0.000690024118858	0.00058256272053	0.0273711728585	-0.00167261719581	-0.0339092932785	-0.00250771397661	0.0136514665408	0.0245368117641	0.0278988671174	-0.0125465024156	0.0190621355016	0.00559986221608	-0.000519784460923	-0.000542094597361	-0.0202024215625	-5.51106768118e-05	0.00247055350747	0.00456946875735	-0.0481313837375	-0.000768965159355	-0.00653217578903	-0.00763803661776	0.0216482993765	-0.0117102609974	-0.00778830894779	-0.00445972799744	0.00588223692829	-0.0203602531203	-0.007182153649	0.00844965006348	-0.00454820438076	0.0251740043445	0.0166272582686	-0.0234002107611	-0.00403826315959	0.0172660176526	-0.0100857354275	0.00264063478164	-0.00589893802744	0.0316850115545	-3.74565791536e-05	0.00197226560716	0.00136193824054	0.00620405531801	0.0188888669326	0.0181960237141	-0.0064594513643	-0.0376927219146	0.0156256012918	0.0123374149478	0.005720944469	0.00129823365678	-0.00629811998656	0.0204218778028	-0.0066164533651	0.00941626675132	0.0279042467366	-0.0123905542649	-0.00103309001106	0.0051077789575	0.00114958860389	0.000229276774459	0.00107561552315	-0.00458978040408	0.0054248045565	0.00218163740239	-0.00744469973528	0.000957054251874	-5.7277735404e-09
DS6	0.114805771808	0.00600487200585	0.0175469096482	-0.0205330925888	-0.0223831415579	-0.0330808952658	-0.0393296535403	0.0160547110758	-0.0658130208552	-0.0994392723034	0.0133519828221	0.0434288908648	-0.0411849145926	0.00349784398394	-0.00907941987164	0.00220187761644	0.0251259774401	0.000331347834486	-0.0043671838059	0.00599913845293	-0.0176561144353	-0.0386508350478	-0.01217169424	0.0774952295436	0.00739183786757	-0.0773385953981	0.0217626002636	-0.0070287077337	0.0955003942989	-0.00226805724053	-0.034241990779	-0.011341254933	0.0397608435887	-0.0350906301959	0.0281941152524	0.0410223222424	0.0019610870911	0.0540580657704	0.00361249003052	-0.0180238936738	0.0122780033737	-0.0189464818762	-0.0586217546072	-0.020992349904	0.00877114531142	-0.0484982584195	-0.0275862251935	-0.0238975898073	-0.01408116311	-0.00207536819868	0.0528333671059	0.0159478188421	0.00631190745546	0.0186366888577	0.0313740629141	0.0117798212099	0.00263244960048	0.013824733649	-0.00233512742265	-0.0112555781455	0.017927415131	-0.0271528561531	0.00131009151059	-0.0353995454416	-0.0194174847171	-0.0161165641394	-0.00115672257457	0.0217291689224	-0.0157690739236	0.00753536870401	0.00268305044527	-0.0157348217386	-0.0223898753186	-0.0310314769103	0.011820455953	0.0216025235678	0.0057222384975	0.0224845402111	-0.00372443819454	0.0165697710898	-0.0129990785144	-0.00208992015754	-0.00909359798625	-0.00345441985666	0.0083228040968	0.00478707846387	0.00613664534818	-0.00317138506264	-0.0067394413761	-0.0108958859879	-0.0153745297716	0.00908032202787	0.00246242831999	0.00380468951733	0.00469608322787	0.00358594276642	-0.00645764755746	0.00482515589555	-0.0015543379347	-0.00524481377321	0.000313228656904	-5.7277735404e-09
DS7	0.110312601936	-0.031769899599	0.000824507976047	0.0106530727015	-0.0141489551279	-0.00857862406066	-0.0178044651916	-0.0630173415011	0.0336740310133	0.0114723459348	-0.00946448105658	-0.0373592171863	-0.0614287397719	-0.00434678293089	0.0563175594621	0.0745422309832	0.0719662917375	-0.0321956671707	-0.0448821886749	-0.0257654718134	-0.0473519625427	-0.0235783955329	0.0402901309089	-0.0641899370635	0.051506096867	0.0216292311795	0.00512988909068	-0.0306966939254	-0.000145610459849	0.0415329161222	0.0245714192243	0.0187662645398	-0.00555138462382	-0.00577445018008	-0.0157631767611	0.00964037796404	-0.012752578527	0.0199919738216	-0.00426663462106	0.0477199923008	-5.4264302041e-06	0.00436333547776	-0.0232780124876	-0.0168104066788	0.00194619230898	0.00381921208143	0.0274109151845	-0.00877226663513	-0.0118232493381	-0.020021989945	0.0530086365074	0.0186373338291	0.00788406710867	0.00814132801281	-0.000181897841073	0.0405040646407	-0.0161072251388	0.0231137903073	-0.00171274774416	-0.0101902345114	-0.0200548724684	-0.0167803646202	-0.023702939431	-0.00565419211502	0.012368644863	-0.0114006175579	-0.0257632580915	0.00871402701637	0.00880014642147	0.0248806550233	-0.0130991905183	-0.0111114083968	-0.00704936066334	0.0277489906183	0.0335815892085	-0.00881712388363	-0.0231338312173	-0.0159269962606	0.00542203619084	-0.0139580110189	0.0192141171709	0.0241058232236	0.0317658507445	-0.00515234916137	-0.00649757296618	0.0176929237777	0.00230060140315	-0.024759309214	-0.00404360015989	-0.0042645229328	-0.00602521141119	-0.00174846942069	-0.00944511077379	-0.00754633112218	0.00538596751666	0.00578715782948	0.000632198701503	-0.00101828482556	0.000364757245234	0.0012137498735	0.00207075583747	-5.7277735404e-09
DS8	0.136149569703	-0.0391956629894	-0.00321158029911	0.0142131119711	-0.00760745249728	-0.048427430397	-0.0497342397354	0.0341566891853	0.00795535587171	-0.0106561929906	-0.0240251201263	-0.0699233925353	-0.0927695180533	-0.021969203127	0.055920242512	-0.0196204549791	0.0341699233866	0.011639380694	-0.021864136264	0.00221667726462	0.0368538081637	0.0330413895275	-0.034510170851	0.00775593832084	0.00829869899253	0.0484103639647	-0.0457041401094	0.0391364821563	0.011450727108	-0.0355396836611	0.0517762973665	-0.0307689076703	0.00448494119478	-0.0325308032115	0.000156286744859	0.0245323956407	-0.01589381314	-0.0282521236615	-0.00467334520183	0.0530514772949	-0.0151531281592	0.00848954246088	-0.0266280386435	0.0226892296836	-0.0219661057747	0.0330793376446	-0.0017454754239	-0.00557894334494	0.0140450404362	0.0317849976902	0.00267883199002	-0.0133096315747	0.0131462923155	-0.00403130194361	0.00773613680257	0.00375988310514	0.0262382250531	-0.0188092686265	-0.0139174963301	0.0180316227082	0.00232276588218	0.00563407112222	0.00348713110412	-0.0162466458015	0.000590803079548	0.0446383679825	0.00802238677702	-0.00236291008736	-0.011445625297	0.0031319907237	0.0052475553085	0.00405392473621	-0.0302051362101	-0.000823935699682	0.012673869013	0.00386439975136	0.000735173532432	-0.00161152242216	0.000387167725427	-0.00164817188137	0.000644642139215	0.0172212790864	-0.00867328765438	0.00619839124168	0.00597233596486	-0.0156641584241	-0.00945517238323	-0.00166235060264	0.0108998161021	-0.00945627190546	-0.0234379722436	0.010901411299	0.00210430050568	-0.0034742587967	0.000507990887288	-0.0185562855241	0.0141890279985	0.00344841668675	-0.00846526563248	0.00330739368629	0.00115431904013	-5.7277735404e-09
DS9	0.163465400714	-0.0753410958337	-0.0627978759248	0.0790115099035	-0.0134660218886	-0.112148456679	-0.00265695122524	-0.0668131609811	-0.0256633950573	-0.051391576776	-0.0601928808568	0.0204457499266	0.0265995948566	-0.0442485403506	-0.0370104193126	-0.00311162074168	0.0180972458686	0.0968518140409	-0.00780571900768	-0.0348414103045	0.0013261231574	-0.0191112762089	-0.0222131270038	0.0424562487696	0.0736710087648	0.0110038736686	0.0142643358778	0.0378559882198	-0.0523744868768	0.00560800522002	-0.0176427983942	0.053981420911	0.044529138597	0.0104314440845	0.00321950930053	-0.0215919434027	-0.00108501133973	0.013196788555	-0.0031210655418	-0.00380146324589	0.0133553447535	0.0146230853221	0.0322005002099	-0.013874334863	0.00411097438058	-0.0103094106157	-0.000697437774094	0.0140109681932	0.00399690413205	0.0224922658962	0.0220983299137	0.0206228111575	-0.000124338455993	0.00574925876661	-0.0450714981171	0.000997571626635	0.014342643721	-0.010173804222	0.0153995765631	0.00301144971971	-0.00141847433659	-0.0358703126352	-0.0168753030457	-0.00532209483427	-0.0473122292171	0.0157349712853	-0.0124086288329	0.00458924836138	0.018931578057	-0.0011491180947	0.00801231846012	-0.00115668477355	0.00995630527573	0.0192540769993	0.00592387606845	-0.0128526444117	0.0202401753846	-0.00220995756054	0.0160842018503	-0.0106292584173	-0.00381811880176	-0.0274278464741	0.00645581758096	0.0024912240263	-0.00318180871904	0.00473035467273	-0.0348465658675	-0.00247901688201	0.00319539866448	0.0136692110854	-0.00156323353759	0.0118248435104	-0.000732069747368	0.00808667355169	-0.00159614197694	0.00202835937909	0.00469806498164	-0.00504990041161	-0.00619414267199	-0.00705210326696	-0.00217488239553	-5.7277735404e-09
DS10	0.0383823001941	0.0964406350428	-0.0171481970301	-0.0724953584721	0.074695239568	-0.0906748846507	0.0476329142999	0.173904560186	-0.115310752193	0.154144535372	-0.079826865381	0.0120969558544	-0.0344928682785	-0.0830741088657	-0.146121771525	-0.0426261035763	-0.0290841380714	-0.0654888473841	-0.0408380647161	-0.0392435385703	-0.108277107043	0.0334896971638	-0.0309507595863	-0.0173519852777	0.0218540177888	0.0199154079621	0.00849820139303	0.0233328382198	-0.013833872007	0.0278482672283	0.0357510432546	0.0192639416448	0.00958438581631	-0.0267694689649	-0.0042054071794	0.0171354343203	-0.0387326750536	0.00706599174762	-0.0261831518555	0.00102713463017	0.00162083670175	0.0142979557873	-0.00131384861441	-0.0229234034992	0.0153338995305	0.00045633417285	-0.0303020510784	-0.00933136200689	0.00120093690379	0.00503997221917	-0.00274960506872	-0.00497069322415	0.0108765722836	0.00755649044819	-0.00394589936639	-0.00807479843446	-0.0201317803493	-0.000180248452316	-0.00376392330282	0.00239905293191	-0.00725320279698	-0.00493725262093	0.00270867836801	-0.00648097845148	0.00652962713071	-0.000300406166596	0.00539267176998	0.00914159927949	-0.0146301875926	-0.00977755176363	-0.00335894453235	-0.0151933910415	0.00433633939122	0.00442423816488	-0.0134605980924	-0.00147893164393	0.00220452066747	-0.00932766270696	0.00499542187428	-0.00466935876707	-0.000610654076685	-0.00435583039539	-0.0143613680151	-0.0314829266277	-0.0104059512241	0.00776802984918	0.00134286925929	-7.90907717812e-05	-0.00567329462264	0.0131096344829	-0.0111162744496	0.00518705051672	-0.0182963747686	-0.00132458763013	-0.010826622093	-0.00428723666915	-0.00702823206609	0.00430676835852	-0.00016855058561	0.00462225876585	-0.00099910745569	-5.7277735404e-09
